Sr. no.,DO Sowing,DO Harvesting,No. of seeds,DO Germination,No. of germinated seeds,DOG,No. of germinated seeds,DOG,No. of germinated seeds,DOG,No. of germinated seeds,DOG,No. of germinated seeds,DOG,No. of germinated seeds,DOG,No. of germinated seeds,DOG,No. of germinated seeds,DOG,No. of germinated seeds,DOG,No. of germinated seeds,DOG,No. of germinated seeds,DOG,No. of germinated seeds,DOG,No. of germinated seeds
83,12-01-2023,02-05-2023,0,08-05-2023,0,10-05-2023,0,17-05-2023,0,22-05-2023,0,24-05-2023,0,26-05-2023,0,29-05-2023,0,31-05-2023,0,02-06-2023,0,05-06-2023,0,07-06-2023,0,09-06-2023,0,12-06-2023,0
84,12-01-2023,02-05-2023,22,08-05-2023,5,10-05-2023,5,17-05-2023,5,22-05-2023,6,24-05-2023,6,26-05-2023,7,29-05-2023,7,31-05-2023,7,02-06-2023,7,05-06-2023,7,07-06-2023,9,09-06-2023,9,12-06-2023,22
85,12-01-2023,02-05-2023,15,08-05-2023,13,10-05-2023,14,17-05-2023,14,22-05-2023,14,24-05-2023,14,26-05-2023,14,29-05-2023,14,31-05-2023,14,02-06-2023,14,05-06-2023,14,07-06-2023,15,09-06-2023,15,12-06-2023,15
86,12-01-2023,02-05-2023,16,08-05-2023,0,10-05-2023,0,17-05-2023,0,22-05-2023,0,24-05-2023,0,26-05-2023,0,29-05-2023,0,31-05-2023,0,02-06-2023,0,05-06-2023,0,07-06-2023,0,09-06-2023,0,12-06-2023,16
87,12-01-2023,02-05-2023,15,08-05-2023,0,10-05-2023,0,17-05-2023,1,22-05-2023,1,24-05-2023,1,26-05-2023,1,29-05-2023,1,31-05-2023,1,02-06-2023,1,05-06-2023,3,07-06-2023,3,09-06-2023,3,12-06-2023,15
88,12-01-2023,02-05-2023,15,08-05-2023,7,10-05-2023,8,17-05-2023,8,22-05-2023,8,24-05-2023,8,26-05-2023,8,29-05-2023,8,31-05-2023,8,02-06-2023,8,05-06-2023,8,07-06-2023,8,09-06-2023,8,12-06-2023,15
89,12-01-2023,02-05-2023,15,08-05-2023,15,10-05-2023,15,17-05-2023,15,22-05-2023,15,24-05-2023,15,26-05-2023,15,29-05-2023,15,31-05-2023,15,02-06-2023,15,05-06-2023,15,07-06-2023,15,09-06-2023,15,12-06-2023,15
90,12-01-2023,02-05-2023,15,08-05-2023,15,10-05-2023,15,17-05-2023,15,22-05-2023,15,24-05-2023,15,26-05-2023,15,29-05-2023,15,31-05-2023,15,02-06-2023,15,05-06-2023,15,07-06-2023,15,09-06-2023,15,12-06-2023,15
91,12-01-2023,02-05-2023,0,08-05-2023,0,10-05-2023,0,17-05-2023,0,22-05-2023,0,24-05-2023,0,26-05-2023,0,29-05-2023,0,31-05-2023,0,02-06-2023,0,05-06-2023,0,07-06-2023,0,09-06-2023,0,12-06-2023,0
92,12-01-2023,02-05-2023,15,08-05-2023,3,10-05-2023,3,17-05-2023,3,22-05-2023,3,24-05-2023,3,26-05-2023,3,29-05-2023,3,31-05-2023,3,02-06-2023,4,05-06-2023,4,07-06-2023,4,09-06-2023,4,12-06-2023,15
