name,sowing_date,harvesting_date,total_seeds,date_of_germination,number_of_seeds
rill_no_125,12-01-2023,02-05-2023,6,02-06-2023,5
rill_no_125,12-01-2023,02-05-2023,6,05-06-2023,5
rill_no_125,12-01-2023,02-05-2023,6,07-06-2023,5
rill_no_125,12-01-2023,02-05-2023,6,09-06-2023,5
rill_no_125,12-01-2023,02-05-2023,6,12-06-2023,6
rill_no_126,12-01-2023,02-05-2023,6,08-05-2023,6
rill_no_126,12-01-2023,02-05-2023,6,10-05-2023,6
rill_no_126,12-01-2023,02-05-2023,6,17-05-2023,6
rill_no_126,12-01-2023,02-05-2023,6,22-05-2023,6
rill_no_126,12-01-2023,02-05-2023,6,24-05-2023,6
rill_no_126,12-01-2023,02-05-2023,6,26-05-2023,6
rill_no_126,12-01-2023,02-05-2023,6,29-05-2023,6
rill_no_126,12-01-2023,02-05-2023,6,31-05-2023,6
rill_no_126,12-01-2023,02-05-2023,6,02-06-2023,6
rill_no_126,12-01-2023,02-05-2023,6,05-06-2023,6
rill_no_126,12-01-2023,02-05-2023,6,07-06-2023,6
rill_no_126,12-01-2023,02-05-2023,6,09-06-2023,6
rill_no_126,12-01-2023,02-05-2023,6,12-06-2023,6
rill_no_127,12-01-2023,02-05-2023,0,08-05-2023,0
rill_no_127,12-01-2023,02-05-2023,0,10-05-2023,0
rill_no_127,12-01-2023,02-05-2023,0,17-05-2023,0
